HGNC symbol	EntrezGene ID
LILRB1	10859
NLRP8	126205
NLRP5	126206
ZNF787	126208
ZNF444	55311
GALP	85569
ZSCAN5B	342933
ZSCAN5A	79149
ZNF582	147948
ZNF583	147949
ZNF667	63934
KIAA0040	
ZNF471	57573
ZFP28	140612
ZNF470	388566
ZNF71	58491
ZNF835	90485
ZIM2	23619
PFN1P2	
SEC22B	
SEC16B	
NUDT4P1	
PDZK1P1	728939
PEG3	5178
HYDIN2	
LILRA1	11024
LINC00083	400797
USP29	57663
ZIM3	114026
DUXA	503835
ZNF264	9422
AURKC	6795
ZNF805	390980
ZNF460	10794
ZNF543	125919
ZNF304	57343
TRAPPC2P1	6399
ZNF547	284306
ZNF548	147694
PDIA3P	171423
ZNF17	7565
ZNF749	388567
LILRB4	11006
KIR3DL1	3812
KIR3DL1	3811
OSTCP2	
TBC1D17	79735
IL4I1	259307
NUP62	23636
SIGLEC11	114132
DDAH1	23576
CYR61	3491
ZNHIT6	54680
F5	2153
ABCA7	10347
ALDH3A1	218
SELP	6403
PYY2	23615
POLDIP2	
HMHA1	23526
C1orf112	55732
SPAG5-AS1	
POLR2E	5434
GPX4	2879
SBNO2	22904
LRRC37BP1	
STK11	6794
C19orf26	255057
ATP5D	513
SELL	6402
MIDN	90007
CIRBP	1153
C19orf24	55009
MUM1	84939
SELE	6401
EFNA2	1943
NDUFS7	374291
METTL18	92342
SCYL3	57147
KRT42P	284116
KIFAP3	22920
GAMT	2593
DAZAP1	26528
RPS15	6209
APC2	10297
METTL11B	149281
GORAB	92344
C19orf25	148223
PCSK4	54760
PRRX1	5396
NSFP1	728806
REEP6	92840
ADAMTSL5	339366
C1orf129	80133
MEX3D	399664
FMO3	2328
MBD3	53615
MRPL45P2	653479
UQCR11	10975
TCF3	6929
UMPS	7372
C11orf75	56935
RPIA	22934
GIMAP8	155038
KIAA1731	85459
FMO6P	
FMO2	2327
ONECUT3	390874
ATP8B3	148229
FMO1	2326
FMO4	2329
PRRC2C	23215
REXO1	57455
PPP1R9B	
KLF16	83855
FAM108A1	81926
HILS1	373861
SCAMP4	113178
LINC00483	55018
ADAT3	113179
GIMAP7	168537
MT1L	4500
GIMAP4	55303
MT1JP	4498
